,Unnamed: 0,SUCURSAL,PERIODO,MES,PROVEEDOR,FOLIO_VENTA,TIPO_VENTA,CANTIDAD_VENTA,TOTAL_VENTA,ULTIMO_COSTO,CODIGO_BARRAS,DTO_CLIENTE,TITULO,TIPO_PRODUCTO,PRECIO_LISTA,COSTO_DEL_DIA_VTA,AUTOR_,DTO_COMERCIAL_,EDITORIAL_,AREA_TEMATICA_,TEMA_,SUBTEMA_,Num_dia_ven,Fecha_ven,N_dia_ven,N_mes_ven,FONDO_180d
126771,158682,SUCURSAL_2,2022,9,EDITORIAL PLANETA MEXICANA,4417168.0,PISO DE VENTA,1.0,318.0,184.44,9786070747434,0.0,Cuentos de buenas noches para niÃ±as rebeldes 2,LIBRO,318.0,184.44,"CAVALLO, FRANCESCA",42.0,PLANETA,JUVENIL,LITERATURA,LITERATURA JUVENIL,17,2022-09-17,SÃ¡bado,Septiembre,Fondo
55333,68883,SUCURSAL_1,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7291848.0,PISO DE VENTA,1.0,259.0,161.82,9786073139083,0.0,Las intermitencias de la muerte,LIBRO,259.0,150.22,"SARAMAGO, JOSE",42.0,DEBOLSILLO,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,4,2022-07-04,Lunes,Julio,Fondo
97284,122086,SUCURSAL_5,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,697189.0,PISO DE VENTA,1.0,649.0,376.42,9786073193894,0.0,Harry Potter y la piedra filosofal / pd.,LIBRO,649.0,376.42,"ROWLING, J. K. (ROWLING, JOANNE KATHLEEN)",42.0,EDICIONES SALAMANDRA,JUVENIL,LITERATURA,LITERATURA JUVENIL,4,2022-12-04,Domingo,Diciembre,Fondo
174355,213611,SUCURSAL_4,2022,10,EDITORIAL PLANETA MEXICANA,900719.0,PISO DE VENTA,1.0,188.0,109.04,9786070701160,0.0,TEMPORADA DE ZOPILOTES,LIBRO,188.0,109.04,"TAIBO II, PACO IGNACIO",42.0,PLANETA,LITERATURA,LITERATURA,AUTORES MEXICANOS,29,2022-10-29,SÃ¡bado,Octubre,Fondo
123121,154242,SUCURSAL_2,2021,10,PEARSON EDUCACION DE MEXICO SA DE CV,4321307.0,PISO DE VENTA,1.0,452.0,198.1,9780136039068,0.0,POCKETS WORKBOOK LEVEL 1 (INCLUYE CD ROM),LIBRO,452.0,,"HOJEL, BARBARA",35.0,LONGMAN INFANTIL,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,TEXTO ESCOLAR BASICO EN INGLES U OTROS IDIOMAS,16,2021-10-16,SÃ¡bado,Octubre,Fondo
131727,164955,SUCURSAL_2,2022,10,EDITORIAL PLANETA MEXICANA,4425352.0,PISO DE VENTA,1.0,398.0,230.84,9786070791451,0.0,La casa en el mar mÃ¡s azul,LIBRO,398.0,230.84,"KLUNE, T.J.",42.0,CROSSBOOKS,JUVENIL,LITERATURA,LITERATURA JUVENIL,13,2022-10-13,Jueves,Octubre,Novedad
13349,18049,SUCURSAL_1,2021,9,EDITORIAL OCEANO DE MEXICO SA DE CV,7196307.0,PISO DE VENTA,1.0,310.5,190.44,9786075573274,0.1,Yoga,LIBRO,345.0,,"CARRERE, EMMANUEL",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,25,2021-09-25,SÃ¡bado,Septiembre,Fondo
17054,22348,SUCURSAL_1,2021,3,NIRVANA LIBROS SA DE CV,7129214.0,PISO DE VENTA,1.0,165.0,110.0,9788478080465,,"EVANGELIO DE LOS ESENIOS, EL / LIBRO II",LIBRO,220.0,,"BORDEAUX SZEKELEY, EDMOND",50.0,SIRIO,HUMANIDADES,RELIGION,DOCTRINAS RELIGIOSAS,20,2021-03-20,SÃ¡bado,Marzo,Fondo
98299,123675,SUCURSAL_5,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,685073.0,PISO DE VENTA,1.0,349.0,202.42,9786073809672,0.0,Sanando la herida materna,LIBRO,349.0,202.42,"MEDINA DE WIT, AURA",42.0,AGUILAR,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,30,2022-07-30,SÃ¡bado,Julio,Fondo
117645,147855,SUCURSAL_2,2021,5,COLOFON SA DE CV,4277685.0,PISO DE VENTA,1.0,825.0,495.0,9788417860790,,El infinito en un junco. La invenciÃ³n de los libros en el mundo antiguo / 3 ed.,LIBRO,1100.0,,"VALLEJO, IRENE",55.0,SIRUELA,CIENCIAS SOCIALES,BIBLIOTECONOMIA Y PROCESOS DOCUMENTALES,EN TORNO AL LIBRO,27,2021-05-27,Jueves,Mayo,Fondo
